shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
7323_3,40.5194564891215,-8.41463113672976,1
7325_1,40.575134108774,-8.4480879446849,2
7323_4,40.5749582147757,-8.4480662665545,3
7325_5,40.5195684672382,-8.41468493551175,4
7323_7,40.5265187359177,-8.28757086814593,5
7323_9,40.5195845326433,-8.4146573364078,6
7316_3,40.5940799048074,-8.30735726662939,7
7318_2,40.5751131571163,-8.44807078456194,8
7321_2,40.6441666565046,-8.34581937426018,9
7326_3,40.6037265434352,-8.38490130526,10
7326_2,40.5751030626559,-8.44807386024063,11
7322_2,40.6139439941665,-8.24732354538949,12
7326_1,40.5751001557395,-8.4480680972305,13
7323_6,40.5749772538573,-8.44816372013454,14
7311_2,40.5750678381299,-8.44808304057556,15
7325_4,40.5195883995362,-8.41467948136839,16
7316_1,40.5750840450119,-8.44807119462466,17
7321_1,40.5750593853938,-8.44807910939601,18
7318_1,40.605310372954,-8.49836802498595,19
7325_2,40.5666132111284,-8.4499247715452,20
7322_1,40.5751319879016,-8.44809547648629,21
7323_2,40.575174051926,-8.44812178480124,22
7323_8,40.5335132174741,-8.30812104466533,23
7326_4,40.5801620206631,-8.40100913893468,24
7316_2,40.575082315314,-8.44805253692992,25
7311_1,40.5750692515414,-8.44807038843356,26
7311_3,40.575054537488,-8.44806602490081,27
7323_5,40.5749774404593,-8.4480952909997,28
7323_1,40.5751296628666,-8.44807791539725,29
7325_3,40.5751402290814,-8.44807531607102,30
7316_3,40.5940404956764,-8.30746166220412,31
7325_5,40.5194805544213,-8.41496691195409,32
7323_7,40.5264048965889,-8.28755406982915,33
7323_9,40.5194873394423,-8.41495546388492,34
7321_2,40.6436366651597,-8.3463423266573,35
7322_2,40.6144788285528,-8.24742307874557,36
7323_3,40.5194960011271,-8.41449056448099,37
7311_1,40.575352651758,-8.44812248057251,38
7323_4,40.5760080640975,-8.44814504415336,39
7321_1,40.5753876715121,-8.44811833312479,40
7326_2,40.5762390926976,-8.44816087003387,41
7323_1,40.5761611684831,-8.44816288373474,42
7326_1,40.5762341791185,-8.44815413926353,43
7323_5,40.576027289756,-8.4481740690766,44
7311_2,40.5753512383407,-8.44813513276673,45
7325_2,40.56651647687,-8.44991011470365,46
7316_1,40.5755839989026,-8.44812293415863,47
7325_3,40.5755488281459,-8.44810867468317,48
7318_1,40.6052291622086,-8.49826825624482,49
7325_1,40.5753153805097,-8.44813305397483,50
7322_1,40.5753098943651,-8.44810607648086,51
7326_3,40.6036276996708,-8.38504541633945,52
7316_2,40.5755835863295,-8.44811615073898,53
7326_4,40.5802325744132,-8.4008514770733,54
7311_3,40.5762579536091,-8.44815542966202,55
7318_2,40.5755597447577,-8.44810943832974,56
7323_8,40.5335324366852,-8.30813605813395,57
7325_4,40.519499365985,-8.41496682298046,58
7323_6,40.5760271031033,-8.44824249928052,59
7323_2,40.5759680966663,-8.44816590554096,60
7316_3,40.5939825968819,-8.30757812528539,61
7323_2,40.5762043723068,-8.44818506891612,62
7323_7,40.5263461984209,-8.28758092281462,63
7318_2,40.5758516064842,-8.44812420090505,64
7321_2,40.6432480650579,-8.34671561990419,65
7325_4,40.519413931855,-8.41503387982047,66
7326_2,40.5763005544243,-8.4481972175381,67
7311_1,40.5762573749757,-8.44821540658611,68
7326_1,40.5762962120936,-8.44819538705039,69
7323_6,40.5763045171407,-8.44825806691865,70
7323_4,40.5762854781504,-8.44816061138413,71
7323_5,40.5763047038036,-8.4481896364322,72
7311_2,40.5762557623341,-8.44817470939741,73
7325_3,40.5762010389841,-8.44815706972592,74
7316_1,40.576062821217,-8.44817398676057,75
7323_1,40.5762518535366,-8.44815458709481,76
7318_1,40.605099794918,-8.49805107146328,77
7325_1,40.5762474569286,-8.44820934795082,78
7322_1,40.5758298664455,-8.44813198863453,79
7322_2,40.614947503992,-8.24736586381681,80
7316_2,40.5760668060105,-8.44815570755992,81
7325_2,40.5664435362993,-8.44989042868548,82
7311_3,40.5762793304106,-8.44812331395391,83
7325_5,40.5193999615734,-8.41502552057682,84
7323_3,40.5195442041287,-8.41432514497299,85
7321_1,40.576011505356,-8.44815974614849,86
7323_8,40.5336195228476,-8.30823110950609,87
7326_4,40.5803460367293,-8.40064892965751,88
7323_9,40.5194358837009,-8.41501441726304,89
7326_3,40.6035384490172,-8.38521998025693,90
7316_3,40.5939328569644,-8.30764311776032,91
7325_1,40.5762748314351,-8.44822607381802,92
7323_7,40.5263144429132,-8.28760692568781,93
7323_9,40.519396657351,-8.41510838519359,94
7323_3,40.5195881585349,-8.41417939980336,95
7323_1,40.5762878511068,-8.44808854022735,96
7321_2,40.6429795329782,-8.34708794503968,97
7311_1,40.5763019130374,-8.44830566530384,98
7326_2,40.5763339565738,-8.44830872670487,99
7322_2,40.6151521476807,-8.24734797949215,100
7326_1,40.5763413045342,-8.4483215163291,101
7325_3,40.5762508733325,-8.44815558770661,102
7323_4,40.5762615964699,-8.44759933704497,103
7321_1,40.57623312376,-8.44817693630954,104
7311_2,40.5762875745359,-8.44812791990996,105
7318_2,40.5761772044596,-8.44815080114541,106
7316_1,40.5762429513862,-8.44819660698929,107
7323_6,40.5763276424395,-8.44866271397783,108
7318_1,40.6050420858361,-8.49788521364446,109
7326_3,40.6034802751365,-8.38531861756642,110
7322_1,40.5762596628489,-8.44817934186408,111
7323_2,40.5762503091713,-8.44821814246834,112
7311_3,40.5762909635146,-8.44806108427524,113
7323_5,40.5763278293422,-8.44859428347048,114
7316_2,40.5762468936696,-8.44817832754162,115
7326_4,40.5804120432723,-8.40055786941698,116
7323_8,40.5336793525509,-8.30836644112753,117
7325_4,40.5193877652563,-8.41519693236902,118
7325_5,40.5193517487498,-8.41542855370422,119
7316_3,40.593868111392,-8.30770655664784,120
7323_1,40.5762657224505,-8.44763462136334,121
7323_7,40.5262909194061,-8.28765566410464,122
7318_2,40.5762388371245,-8.44815144305147,123
7321_2,40.6428322376641,-8.34738251618059,124
7326_3,40.6034008775635,-8.38540450108247,125
7326_2,40.5763481681072,-8.44846273729555,126
7321_1,40.5762950928691,-8.44812169994616,127
7326_1,40.5763514396317,-8.44846998997922,128
7325_5,40.5193031550465,-8.41598243027683,129
7323_4,40.576215556244,-8.44688644209496,130
7311_1,40.5763118938127,-8.44855976464129,131
7323_3,40.5200840400056,-8.41251372019299,132
7325_3,40.5762816472822,-8.44809449976798,133
7311_2,40.576294985278,-8.44806055889577,134
7323_5,40.5762787644044,-8.44899174794126,135
7316_1,40.5763037131866,-8.44826978405398,136
7325_4,40.5193626625835,-8.41543506150675,137
7318_1,40.6050552455556,-8.49771337415441,138
7323_6,40.5762785772664,-8.449060178396,139
7322_1,40.5762862503622,-8.44809934831588,140
7323_2,40.5762862145382,-8.44825504575582,141
7311_3,40.5762674000368,-8.44769371165723,142
7323_9,40.519382066968,-8.41519976678738,143
7316_2,40.5763323584912,-8.44826345794777,144
7322_2,40.6152657990815,-8.24737800883449,145
7323_8,40.5337253332274,-8.30883597790854,146
7325_1,40.5763000288082,-8.44826768565091,147
7326_4,40.5804744722297,-8.40057004777285,148
7316_3,40.5937595285742,-8.3077486789629,149
7323_1,40.5762263840059,-8.44700732736052,150
7323_7,40.5262918446877,-8.28775866600748,151
7311_1,40.5762646776107,-8.44884430677138,152
7321_2,40.6425426931116,-8.34801612887866,153
7318_2,40.5762710146479,-8.44810589254106,154
7326_2,40.5763446290953,-8.44861196287316,155
7322_2,40.6153932906614,-8.24746276087231,156
7326_1,40.5763431548361,-8.44866854836118,157
7325_3,40.5762721623844,-8.44787758078279,158
7323_4,40.5762623890333,-8.44675800860872,159
7323_5,40.5775251413628,-8.44984670334204,160
7311_2,40.5762668736682,-8.44756894324954,161
7325_5,40.5192378014881,-8.41677853716106,162
7316_1,40.5763386405286,-8.44845787205949,163
7323_9,40.519329474115,-8.41572399688458,164
7318_1,40.6051235566675,-8.4975953176457,165
7325_4,40.5193139931983,-8.41598702727037,166
7322_1,40.5762812971961,-8.44803903799331,167
7325_1,40.576314589521,-8.44834244249355,168
7311_3,40.5762455197341,-8.44730916532144,169
7326_3,40.6033369354112,-8.3854904425283,170
7323_3,40.5201337230074,-8.41235915805362,171
7323_2,40.5763103,-8.4483022,172
7316_2,40.5763561872097,-8.44843900368567,173
7326_4,40.5805516268719,-8.40062480984378,174
7323_8,40.5337857930671,-8.30923090378518,175
7323_6,40.5775249537137,-8.44991513506104,176
7321_1,40.5762884225916,-8.4479161186089,177
7316_3,40.5935355048748,-8.30778747181469,178
7325_3,40.5762565103104,-8.44749630666941,179
7323_7,40.5263207342547,-8.2879702848859,180
7323_5,40.5786227312672,-8.45055578506593,181
7321_2,40.6423880688214,-8.34838746364122,182
7323_2,40.5763379,-8.448353,183
7326_2,40.5763052134126,-8.44883052089875,184
7322_2,40.6155295714571,-8.24760056979891,185
7326_1,40.5762740885841,-8.44894280159212,186
7311_1,40.5761825201197,-8.44890885729414,187
7311_2,40.5762409255801,-8.44699939499495,188
7326_4,40.5808055382236,-8.40086248115819,189
7323_4,40.5763258793349,-8.44614979597378,190
7321_1,40.5762469768421,-8.44704817467769,191
7316_1,40.5763261753433,-8.44863607962106,192
7323_1,40.5762101389152,-8.44687949566051,193
7318_1,40.6052150841347,-8.49750158192172,194
7325_4,40.5192487038412,-8.41677772615203,195
7322_1,40.5762156,-8.4468745,196
7323_9,40.5192786874775,-8.41634774481073,197
7311_3,40.5762332654308,-8.44699768705236,198
7318_2,40.5762768835918,-8.44804100366709,199
7316_2,40.5763585751498,-8.44856874119389,200
7323_6,40.5786225431939,-8.45062421789862,201
7323_3,40.5201419830048,-8.41231848515044,202
7325_1,40.5763091307749,-8.44867550556683,203
7323_8,40.5338540078853,-8.30958684465154,204
7325_5,40.5191963316772,-8.41717169637171,205
7326_3,40.6032109329672,-8.38568514481749,206
7323_3,40.5201342781571,-8.41228226720306,207
7318_2,40.5762719627114,-8.44787993399383,208
7316_3,40.5929500177428,-8.30790407430145,209
7323_9,40.5192532994965,-8.41665692895447,210
7323_7,40.5263574585431,-8.28810829004983,211
7325_3,40.5762473417591,-8.44730470028875,212
7321_2,40.642248959764,-8.34869283334229,213
7326_4,40.5812004139945,-8.40114783683519,214
7326_2,40.5762746829541,-8.4489551321451,215
7323_1,40.5762360849444,-8.44678748174357,216
7326_1,40.5763190198211,-8.44902802269891,217
7323_2,40.5763609,-8.4484676,218
7311_2,40.5762482714328,-8.44686124251693,219
7311_1,40.5760018922119,-8.44880872980723,220
7323_4,40.5763460218227,-8.44568682871581,221
7325_4,40.5192058314838,-8.41717357262204,222
7316_1,40.5763083077657,-8.44876493865238,223
7321_1,40.5762307346405,-8.44689276633012,224
7318_1,40.6053891108842,-8.49740702046548,225
7325_5,40.5191070325197,-8.41752752067341,226
7322_1,40.5762395233012,-8.44682553778385,227
